checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,6,critical account,radio/television,1169,no savings account,>=7 years,4,none,4,real estate,67,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,48,existing credits paid back duly till now,radio/television,5951,<100 DM,1<= < 4 years,2,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0
no account,12,critical account,education,2096,<100 DM,4<= <7 years,2,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1
<0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,<100 DM,4<= <7 years,2,guarantor,4,savings agreement/life insurance,45,none,for free,1,skilled employee / official,2,none,yes,male,divorced/separated,1
<0 DM,24,delay in paying off,car (new),4870,<100 DM,1<= < 4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,male,divorced/separated,0
no account,36,existing credits paid back duly till now,education,9055,no savings account,1<= < 4 years,2,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,yes,yes,male,divorced/separated,1
no account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= < 1000 DM,>=7 years,3,none,4,savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,36,existing credits paid back duly till now,car (used),6948,<100 DM,1<= < 4 years,2,none,2,car or other,35,none,rent,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
no account,12,existing credits paid back duly till now,radio/television,3059,>= 1000 DM,4<= <7 years,2,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1
0 <= <200 DM,30,critical account,car (new),5234,<100 DM,unemployed,4,none,2,car or other,28,none,own,2,management/ highly qualified employee,1,none,yes,male,married/widowed,0
