age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_F,c_charge_degree_M,race,sex,recidivism
25.0,0.0,-2.340451188649518,1.0,-15.01099900189571,1.0,0.0,0.0,0.0,1.0,African-American,1.0,1.0
26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Caucasian,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Caucasian,1.0,1.0
29.129788115839908,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,African-American,1.0,1.0
40.99448724226511,0.0,0.0,0.0,7.513696936855309,1.0,0.0,0.0,1.0,0.0,Caucasian,1.0,0.0
28.81487398618103,0.9684300040951325,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,African-American,1.0,1.0
34.680604461694564,0.0,0.0,0.0,4.119106520517404,1.0,0.0,0.0,0.0,1.0,African-American,1.0,1.0
45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,African-American,1.0,0.0
28.965998077983393,0.0,2.2392117567753487,1.0,6.173521274348511,1.0,0.0,0.0,0.0,1.0,Caucasian,1.0,1.0
42.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Caucasian,1.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Caucasian,1.0,1.0
58.0,0.0,0.0,0.0,1.926796414255524,0.0,1.0,0.0,0.0,1.0,Caucasian,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Caucasian,1.0,0.0
23.98157094980663,0.0,0.0,-2.0516404591162116,3.6930422345542055,0.0,0.0,1.0,1.0,0.0,Caucasian,0.0,1.0
39.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,Caucasian,1.0,0.0
25.049865429824106,0.0,0.0,0.0,3.763583412140429,1.0,0.0,0.0,0.0,1.0,Caucasian,1.0,1.0
39.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Caucasian,1.0,0.0
21.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,African-American,1.0,1.0
21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,African-American,1.0,0.0
37.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,Caucasian,1.0,0.0
36.220183207871855,0.622939722215142,-0.5591735392221041,0.0,24.566478864351804,1.0,0.0,0.0,1.0,0.0,African-American,1.0,1.0
39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Caucasian,1.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,African-American,0.0,1.0
36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,African-American,1.0,1.0
22.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,African-American,1.0,1.0
40.67542212723754,0.0,0.0,0.0,15.498933528806646,1.0,0.0,0.0,1.0,0.0,African-American,1.0,1.0
59.618595058503736,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Caucasian,1.0,0.0
