Metric,Bootstrap_Model_Seed,Model_Name,Model_Params,Run_Number,Dataset_Name,Num_Estimators,Tag,Record_Create_Date_Time,Session_Uuid,Experiment_Iteration,Dataset_Split_Seed,Model_Init_Seed,Fair_Intervention_Params_Lst,Intervention_Param,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,male_priv,male_priv_correct,male_priv_incorrect,overall,race_dis,race_dis_correct,race_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,Test_Set_Index
Accuracy,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.75,1.0,0.0,0.9129979035639413,1.0,0.0,0.886021505376344,1.0,0.0,0.9104347826086957,1.0,0.0,0.8995192307692308,0.7672413793103449,1.0,0.0,0.9260969976905312,1.0,0.0,0
Aleatoric_Uncertainty,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.5868292198900119,0.4895028089709125,0.8788084526473101,0.31213451114412527,0.2746251249709554,0.7057571058047387,0.32557852040339047,0.27641138563249196,0.7077834171130161,0.34234717313819124,0.29969421995747725,0.7759165127518567,0.334849650521189,0.5991994902774432,0.5141883196970904,0.8794214970052727,0.28173547948471295,0.25202902038499314,0.6539945450780771,0
F1,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.8365019011406845,1.0,0.0,0.9534231200897868,1.0,0.0,0.9375,1.0,0.0,0.9516658845612389,1.0,0.0,0.9453880324013587,0.8468809073724007,1.0,0.0,0.9611885991510006,1.0,0.0,0
FNR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.10569105691056911,0.0,1.0,0.013356562137049941,0.0,1.0,0.02334152334152334,0.0,1.0,0.016488845780795344,0.0,1.0,0.01951219512195122,0.0967741935483871,0.0,1.0,0.007514088916718848,0.0,1.0,0
FPR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.6122448979591837,0.0,1.0,0.7688172043010753,0.0,1.0,0.75,0.0,1.0,0.7226890756302521,0.0,1.0,0.7361702127659574,0.57,0.0,1.0,0.8592592592592593,0.0,1.0,0
IQR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.053677237009712865,0.04423043496352387,0.08201764314827989,0.027505826853458922,0.023814295627974335,0.06624466658113452,0.028606573479079064,0.023741376201889028,0.0664265975961035,0.030529990492631918,0.02638713954524289,0.07264227148211065,0.02967000115484146,0.055277359210661375,0.04736805932154612,0.0813487551414487,0.02452487378565824,0.02153550951083108,0.06198534485458611,0
Jitter,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.05720170620545171,0.028317556776123513,0.1438541544934052,0.016711281775755177,0.008955396961846785,0.09810135012414363,0.019561463230124726,0.008734144021076752,0.10372854840239312,0.020462311557789017,0.011515120972579035,0.1114109381860803,0.02005952841128785,0.06673207993993159,0.03564809064047434,0.16919411874184762,0.010681902584515802,0.006069342974223462,0.06848304020100503,0
Label_Stability,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.922674418604651,0.9623255813953489,0.8037209302325582,0.9764989517819705,0.9878645235361653,0.8572289156626507,0.973247311827957,0.9883373786407766,0.8559433962264151,0.9710782608695653,0.9843457497612227,0.8362135922330096,0.9720480769230768,0.9076724137931035,0.9531460674157304,0.7577777777777778,0.9849826789838337,0.9915897755610973,0.9021875,0
Mean,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.25366066560450123,0.19218317287414302,0.43809314379557607,0.09430034646818729,0.07687616230366145,0.27714931523086195,0.10592175970495323,0.08043902837613173,0.30401393531767884,0.10873692088666873,0.08827903023095526,0.3166923725034843,0.10747821901215171,0.2623223387707427,0.2132171520025776,0.4241875840435831,0.07636635199368194,0.0634544416764679,0.2381687281562705,0
Overall_Uncertainty,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 5, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 600}",Run_1,Law_School,200,OK,2023-08-07 01:12:17.630,adaeac61-1e2d-4f1c-ad7e-6a164a02d732,Exp_iter_1,100,100,"[0.0, 0.6]",0.6,0.59599798281351,0.4973836190946347,0.8918410739701361,0.3172760636629066,0.2792196178051038,0.716639489471898,0.3308123858516533,0.2809034869135636,0.7187834492949164,0.3480164031919235,0.3047742004421416,0.7875754932795126,0.34032422236189885,0.6086383785857439,0.5226537972216503,0.892069035674793,0.2864135258457914,0.256243452133116,0.6644822620577554,0
