Metric,SEX,RAC1P,SEX&RAC1P,Model_Name,Intervention_Param
Equalized_Odds_TPR,-0.03079268292682924,0.11074514666563329,0.05249773566501781,LGBMClassifier,0.7
Equalized_Odds_FPR,-0.02131701139721401,0.0009518370454978109,-0.00700793796337533,LGBMClassifier,0.7
Equalized_Odds_FNR,0.030792682926829296,-0.11074514666563334,-0.05249773566501781,LGBMClassifier,0.7
Disparate_Impact,1.0451749734888653,1.3342133960856337,1.248406706539857,LGBMClassifier,0.7
Statistical_Parity_Difference,0.03246951219512195,0.22563645522532638,0.17651362084581623,LGBMClassifier,0.7
Accuracy_Parity,0.04775641025641031,0.07497732132443469,0.0652173913043479,LGBMClassifier,0.7
Label_Stability_Ratio,1.0095819811577007,1.0301209785116932,1.012842085178694,LGBMClassifier,0.7
IQR_Parity,-0.0026551143311698278,-0.00967660527132716,-0.005313076583927184,LGBMClassifier,0.7
Std_Parity,-0.002214117425894342,-0.00706110127509476,-0.004207550960833459,LGBMClassifier,0.7
Std_Ratio,0.9581473862978338,0.8695701641666075,0.9199532195084829,LGBMClassifier,0.7
Jitter_Parity,-0.007536566378903806,-0.019030010009223178,-0.009410112766584558,LGBMClassifier,0.7
Equalized_Odds_TPR,-0.01097560975609757,-0.00598674778160968,-0.05549362502612687,LGBMClassifier,0.0
Equalized_Odds_FPR,-0.025116082735331363,-0.014481520763645256,-0.019877655812003875,LGBMClassifier,0.0
Equalized_Odds_FNR,0.01097560975609757,0.005986747781609625,0.055493625026126925,LGBMClassifier,0.0
Disparate_Impact,1.0739042728773152,1.1095233662260287,1.0641057210867602,LGBMClassifier,0.0
Statistical_Parity_Difference,0.061432926829268264,0.09117681249273446,0.05441371141921547,LGBMClassifier,0.0
Accuracy_Parity,0.04294871794871791,0.037355018466921575,0.032355915065722995,LGBMClassifier,0.0
Label_Stability_Ratio,1.013086132198451,1.0203793128013074,1.0132200761605896,LGBMClassifier,0.0
IQR_Parity,-0.0030377716953829265,-0.007959024854970922,-0.005539567672418727,LGBMClassifier,0.0
Std_Parity,-0.0021021596178428525,-0.005701112525753914,-0.0038189830524456084,LGBMClassifier,0.0
Std_Ratio,0.9643024235570372,0.9045579272645509,0.9347582189106831,LGBMClassifier,0.0
Jitter_Parity,-0.008137675557275542,-0.013465396867056778,-0.009009568683773159,LGBMClassifier,0.0
Equalized_Odds_TPR,-0.039253048780487854,-0.031483705971248166,-0.11670034139204344,LGBMClassifier,0.4
Equalized_Odds_FPR,-0.00873786407766991,-0.013488890701911838,-0.010826281732205081,LGBMClassifier,0.4
