Metric,male,race,male&race,Model_Name,Experiment_Iteration,Intervention_Param,Test_Set_Index
Equalized_Odds_TPR,-0.006852677560728049,-0.08926010463166822,-0.09233449477351918,LGBMClassifier,Exp_iter_1,0.6,0
Equalized_Odds_FPR,0.027310924369747913,-0.2892592592592593,-0.15657230634189157,LGBMClassifier,Exp_iter_1,0.6,0
Equalized_Odds_FNR,0.006852677560727997,0.08926010463166825,0.09233449477351917,LGBMClassifier,Exp_iter_1,0.6,0
Disparate_Impact,1.0155706946616037,1.0637883787525366,1.064060803474484,LGBMClassifier,Exp_iter_1,0.6,0
Statistical_Parity_Difference,0.01661276831014935,0.06794241218413566,0.06852497096399524,LGBMClassifier,Exp_iter_1,0.6,0
Accuracy_Parity,-0.02441327723235165,-0.15885561838018636,-0.16299790356394128,LGBMClassifier,Exp_iter_1,0.6,0
Label_Stability_Ratio,1.0022336520605963,0.9215110409144575,0.9448800911879143,LGBMClassifier,Exp_iter_1,0.6,0
IQR_Parity,-0.0019234170135528535,0.030752485425003136,0.026171410156253943,LGBMClassifier,Exp_iter_1,0.6,0
Std_Parity,-0.0014947483480208142,0.022654697553924172,0.019420397675297765,LGBMClassifier,Exp_iter_1,0.6,0
Std_Ratio,0.9362288387603354,2.1935697988767453,1.91757091989168,LGBMClassifier,Exp_iter_1,0.6,0
Jitter_Parity,-0.0009008483276642908,0.05605017735541579,0.04049042442969653,LGBMClassifier,Exp_iter_1,0.6,0
Equalized_Odds_TPR,-0.005171382474971176,-0.11004756903064217,-0.0987224157955865,LGBMClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FPR,-0.025282526803824923,-0.4292592592592593,-0.3133640552995392,LGBMClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.005171382474971221,0.11004756903064213,0.09872241579558652,LGBMClassifier,Exp_iter_1,0.0,0
Disparate_Impact,1.0093278423562047,0.9912768659262348,0.9923664122137406,LGBMClassifier,Exp_iter_1,0.0,0
Statistical_Parity_Difference,0.009888779529904745,-0.009296665118064151,-0.008130081300812941,LGBMClassifier,Exp_iter_1,0.0,0
Accuracy_Parity,-0.015605423094904092,-0.1335709166202118,-0.11753449368631463,LGBMClassifier,Exp_iter_1,0.0,0
Label_Stability_Ratio,0.998577907316844,0.911696818570683,0.920586307756427,LGBMClassifier,Exp_iter_1,0.0,0
IQR_Parity,-0.0018418992707291484,0.03070162807008311,0.02640029144412168,LGBMClassifier,Exp_iter_1,0.0,0
Std_Parity,-0.001380608364266945,0.022270950149824872,0.01912573180911198,LGBMClassifier,Exp_iter_1,0.0,0
Std_Ratio,0.9474740574271133,2.0150416987665265,1.7940775240850562,LGBMClassifier,Exp_iter_1,0.0,0
Jitter_Parity,0.0009153720918688296,0.06001277824710762,0.05223850775990582,LGBMClassifier,Exp_iter_1,0.0,0
Equalized_Odds_TPR,-0.005365607208478229,-0.07716333043811985,-0.08536585365853655,LogisticRegression,Exp_iter_1,0.6,0
Equalized_Odds_FPR,0.0021008403361344463,-0.2592592592592593,-0.14691683124862842,LogisticRegression,Exp_iter_1,0.6,0
Equalized_Odds_FNR,0.005365607208478207,0.07716333043811986,0.08536585365853659,LogisticRegression,Exp_iter_1,0.6,0
Disparate_Impact,1.014185628316063,1.0865027213593523,1.0769230769230769,LogisticRegression,Exp_iter_1,0.6,0
Statistical_Parity_Difference,0.015190042348141253,0.09213596057123241,0.0824622531939605,LogisticRegression,Exp_iter_1,0.6,0
Accuracy_Parity,-0.020523609163160317,-0.15885561838018636,-0.16299790356394128,LogisticRegression,Exp_iter_1,0.6,0
Label_Stability_Ratio,1.004335707649427,0.9552448804260418,0.9689971045213348,LogisticRegression,Exp_iter_1,0.6,0
IQR_Parity,-0.0004394323534326547,0.015022317395668628,0.013321803169827343,LogisticRegression,Exp_iter_1,0.6,0
Std_Parity,-0.00037752191542240673,0.011290698242018816,0.010010789402424683,LogisticRegression,Exp_iter_1,0.6,0
Std_Ratio,0.9574177968749634,2.658469055430207,2.2721629361081668,LogisticRegression,Exp_iter_1,0.6,0
Jitter_Parity,-0.002206018404318751,0.03092054469475277,0.022461201723108764,LogisticRegression,Exp_iter_1,0.6,0
Equalized_Odds_TPR,-0.000257377560966332,-0.098576968913487,-0.07491289198606277,LogisticRegression,Exp_iter_1,0.0,0
Equalized_Odds_FPR,0.001014198782961384,-0.3766666666666667,-0.2736449418477068,LogisticRegression,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.00025737756096630773,0.09857696891348698,0.07491289198606271,LogisticRegression,Exp_iter_1,0.0,0
Disparate_Impact,1.0178946069357029,1.024124924276844,1.0353452963567156,LogisticRegression,Exp_iter_1,0.0,0
Statistical_Parity_Difference,0.019005426376910384,0.02574130930979468,0.03774680603948899,LogisticRegression,Exp_iter_1,0.0,0
Accuracy_Parity,-0.014941561477325838,-0.1421916062753843,-0.11596216664228953,LogisticRegression,Exp_iter_1,0.0,0
Label_Stability_Ratio,1.000802025127658,0.9591320645489642,0.9674653511862815,LogisticRegression,Exp_iter_1,0.0,0
IQR_Parity,-0.0004508970638314215,0.01656430213503716,0.014545259937867398,LogisticRegression,Exp_iter_1,0.0,0
Std_Parity,-0.000250712698052144,0.012597874744057873,0.011208249522494669,LogisticRegression,Exp_iter_1,0.0,0
Std_Ratio,0.971192962518509,2.943109990424136,2.4624081283525006,LogisticRegression,Exp_iter_1,0.0,0
Jitter_Parity,-0.0005955631359242288,0.029270523731717988,0.02275483751946553,LogisticRegression,Exp_iter_1,0.0,0
Equalized_Odds_TPR,-0.00542995159871984,-0.10879522087785565,-0.08885017421602792,MLPClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FPR,0.05143436685018832,-0.3496296296296296,-0.21560236998025017,MLPClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.005429951598719784,0.10879522087785565,0.08885017421602788,MLPClassifier,Exp_iter_1,0.0,0
Disparate_Impact,1.0186228591559474,1.0137681641813756,1.0339168490153174,MLPClassifier,Exp_iter_1,0.0,0
