Metric,Race,Model_Name,Experiment_Iteration,Intervention_Param,Test_Set_Index
Accuracy_Parity,-0.2299465240641711,LGBMClassifier,Exp_iter_1,0.0,0
Disparate_Impact,2.2647058823529416,LGBMClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.0,LGBMClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FPR,0.0,LGBMClassifier,Exp_iter_1,0.0,0
Equalized_Odds_TPR,0.0,LGBMClassifier,Exp_iter_1,0.0,0
IQR_Parity,2.7755575615628914e-17,LGBMClassifier,Exp_iter_1,0.0,0
Jitter_Parity,0.0,LGBMClassifier,Exp_iter_1,0.0,0
Label_Stability_Ratio,1.0,LGBMClassifier,Exp_iter_1,0.0,0
Statistical_Parity_Difference,3.0714285714285716,LGBMClassifier,Exp_iter_1,0.0,0
Std_Parity,-1.3877787807814457e-17,LGBMClassifier,Exp_iter_1,0.0,0
Std_Ratio,0.9999999999999998,LGBMClassifier,Exp_iter_1,0.0,0
Accuracy_Parity,-0.2299465240641711,LGBMClassifier,Exp_iter_1,0.4,0
Disparate_Impact,2.2647058823529416,LGBMClassifier,Exp_iter_1,0.4,0
Equalized_Odds_FNR,0.0,LGBMClassifier,Exp_iter_1,0.4,0
Equalized_Odds_FPR,0.0,LGBMClassifier,Exp_iter_1,0.4,0
Equalized_Odds_TPR,0.0,LGBMClassifier,Exp_iter_1,0.4,0
IQR_Parity,2.7755575615628914e-17,LGBMClassifier,Exp_iter_1,0.4,0
Jitter_Parity,0.0,LGBMClassifier,Exp_iter_1,0.4,0
Label_Stability_Ratio,1.0,LGBMClassifier,Exp_iter_1,0.4,0
Statistical_Parity_Difference,3.0714285714285716,LGBMClassifier,Exp_iter_1,0.4,0
Std_Parity,0.0,LGBMClassifier,Exp_iter_1,0.4,0
Std_Ratio,1.0,LGBMClassifier,Exp_iter_1,0.4,0
Accuracy_Parity,-0.2299465240641711,LGBMClassifier,Exp_iter_1,0.7,0
Disparate_Impact,2.2647058823529416,LGBMClassifier,Exp_iter_1,0.7,0
Equalized_Odds_FNR,0.0,LGBMClassifier,Exp_iter_1,0.7,0
Equalized_Odds_FPR,0.0,LGBMClassifier,Exp_iter_1,0.7,0
Equalized_Odds_TPR,0.0,LGBMClassifier,Exp_iter_1,0.7,0
IQR_Parity,0.0,LGBMClassifier,Exp_iter_1,0.7,0
Jitter_Parity,0.0,LGBMClassifier,Exp_iter_1,0.7,0
Label_Stability_Ratio,1.0000000000000002,LGBMClassifier,Exp_iter_1,0.7,0
Statistical_Parity_Difference,3.0714285714285716,LGBMClassifier,Exp_iter_1,0.7,0
Std_Parity,-1.3877787807814457e-17,LGBMClassifier,Exp_iter_1,0.7,0
Std_Ratio,0.9999999999999998,LGBMClassifier,Exp_iter_1,0.7,0
Accuracy_Parity,0.3529411764705882,LogisticRegression,Exp_iter_1,0.0,0
Disparate_Impact,0.5384615384615384,LogisticRegression,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.0,LogisticRegression,Exp_iter_1,0.0,0
Equalized_Odds_FPR,-0.6,LogisticRegression,Exp_iter_1,0.0,0
Equalized_Odds_TPR,0.0,LogisticRegression,Exp_iter_1,0.0,0
IQR_Parity,-0.004259721871489895,LogisticRegression,Exp_iter_1,0.0,0
Jitter_Parity,-0.0640968210033926,LogisticRegression,Exp_iter_1,0.0,0
Label_Stability_Ratio,1.0935446085768203,LogisticRegression,Exp_iter_1,0.0,0
Statistical_Parity_Difference,-0.8571428571428572,LogisticRegression,Exp_iter_1,0.0,0
Std_Parity,-0.0011073640847593519,LogisticRegression,Exp_iter_1,0.0,0
Std_Ratio,0.9758617440249395,LogisticRegression,Exp_iter_1,0.0,0
Accuracy_Parity,0.0267379679144385,LogisticRegression,Exp_iter_1,0.4,0
Disparate_Impact,1.1666666666666665,LogisticRegression,Exp_iter_1,0.4,0
Equalized_Odds_FNR,0.0,LogisticRegression,Exp_iter_1,0.4,0
Equalized_Odds_FPR,-0.0888888888888889,LogisticRegression,Exp_iter_1,0.4,0
Equalized_Odds_TPR,0.0,LogisticRegression,Exp_iter_1,0.4,0
IQR_Parity,-0.02897288592163355,LogisticRegression,Exp_iter_1,0.4,0
Jitter_Parity,-0.057898718189863724,LogisticRegression,Exp_iter_1,0.4,0
Label_Stability_Ratio,1.1116523646686882,LogisticRegression,Exp_iter_1,0.4,0
Statistical_Parity_Difference,0.2142857142857142,LogisticRegression,Exp_iter_1,0.4,0
Std_Parity,-0.02372510499403515,LogisticRegression,Exp_iter_1,0.4,0
Std_Ratio,0.6205686094932984,LogisticRegression,Exp_iter_1,0.4,0
Accuracy_Parity,-0.06417112299465233,LogisticRegression,Exp_iter_1,0.7,0
Disparate_Impact,1.5555555555555554,LogisticRegression,Exp_iter_1,0.7,0
Equalized_Odds_FNR,0.0,LogisticRegression,Exp_iter_1,0.7,0
Equalized_Odds_FPR,0.0222222222222222,LogisticRegression,Exp_iter_1,0.7,0
Equalized_Odds_TPR,0.0,LogisticRegression,Exp_iter_1,0.7,0
IQR_Parity,-0.026239708082403335,LogisticRegression,Exp_iter_1,0.7,0
Jitter_Parity,-0.005885577620717217,LogisticRegression,Exp_iter_1,0.7,0
Label_Stability_Ratio,0.9885615043717811,LogisticRegression,Exp_iter_1,0.7,0
Statistical_Parity_Difference,0.7142857142857142,LogisticRegression,Exp_iter_1,0.7,0
Std_Parity,-0.01916160626108921,LogisticRegression,Exp_iter_1,0.7,0
Std_Ratio,0.749870952094999,LogisticRegression,Exp_iter_1,0.7,0
Accuracy_Parity,-0.06417112299465233,MLPClassifier,Exp_iter_1,0.7,0
Disparate_Impact,2.0,MLPClassifier,Exp_iter_1,0.7,0
Equalized_Odds_FNR,-0.14285714285714285,MLPClassifier,Exp_iter_1,0.7,0
Equalized_Odds_FPR,0.1222222222222222,MLPClassifier,Exp_iter_1,0.7,0
Equalized_Odds_TPR,0.1428571428571429,MLPClassifier,Exp_iter_1,0.7,0
IQR_Parity,-0.05854261516211538,MLPClassifier,Exp_iter_1,0.7,0
Jitter_Parity,-0.006295515008201247,MLPClassifier,Exp_iter_1,0.7,0
Label_Stability_Ratio,1.0171217205613179,MLPClassifier,Exp_iter_1,0.7,0
Statistical_Parity_Difference,1.0,MLPClassifier,Exp_iter_1,0.7,0
Std_Parity,0.004367751375921741,MLPClassifier,Exp_iter_1,0.7,0
Std_Ratio,1.021641746544735,MLPClassifier,Exp_iter_1,0.7,0
Accuracy_Parity,0.0,MLPClassifier,Exp_iter_1,0.0,0
Disparate_Impact,1.0,MLPClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.0,MLPClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FPR,0.0,MLPClassifier,Exp_iter_1,0.0,0
Equalized_Odds_TPR,0.0,MLPClassifier,Exp_iter_1,0.0,0
IQR_Parity,-0.14246344136147643,MLPClassifier,Exp_iter_1,0.0,0
Jitter_Parity,-0.11034584688143848,MLPClassifier,Exp_iter_1,0.0,0
Label_Stability_Ratio,1.1957288401253918,MLPClassifier,Exp_iter_1,0.0,0
Statistical_Parity_Difference,0.0,MLPClassifier,Exp_iter_1,0.0,0
Std_Parity,-0.12317270176886641,MLPClassifier,Exp_iter_1,0.0,0
Std_Ratio,0.11675594996318969,MLPClassifier,Exp_iter_1,0.0,0
Accuracy_Parity,0.07219251336898402,MLPClassifier,Exp_iter_1,0.4,0
Disparate_Impact,1.25,MLPClassifier,Exp_iter_1,0.4,0
Equalized_Odds_FNR,-0.14285714285714285,MLPClassifier,Exp_iter_1,0.4,0
